date,quarter,day_of_week,neighborhood,bike_cost,location,long,lat
2014-01-01,2014-01-01,Wednesday,Waterfront Communities-The Island (77),1019,Residential Structures,-79.3772023229936,43.633880327159524
2014-01-03,2014-01-01,Friday,Humewood-Cedarvale (106),560,Residential Structures,-79.42768334947216,43.69136980411722
2014-01-04,2014-01-01,Saturday,Church-Yonge Corridor (75),200,Residential Structures,-79.37901716162628,43.659648849449276
2014-01-04,2014-01-01,Saturday,Leaside-Bennington (56),900,Residential Structures,-79.36607234417629,43.703796594874674
2014-01-07,2014-01-01,Tuesday,South Riverdale (70),150,Residential Structures,-79.33565132290826,43.6492919996662
2014-01-08,2014-01-01,Wednesday,Moss Park (73),479,Residential Structures,-79.36729702995146,43.656517618834606
2014-01-05,2014-01-01,Sunday,Church-Yonge Corridor (75),1800,Commercial Areas,-79.37901716162628,43.659648849449276
2014-01-10,2014-01-01,Friday,Kensington-Chinatown (78),800,Open/Public Spaces,-79.39723987739471,43.6535541286232
2014-01-10,2014-01-01,Friday,Waterfront Communities-The Island (77),400,Open/Public Spaces,-79.3772023229936,43.633880327159524
2014-01-11,2014-01-01,Saturday,Annex (95),200,Residential Structures,-79.40400062928025,43.67158543003155
2014-01-11,2014-01-01,Saturday,Annex (95),200,Residential Structures,-79.40400062928025,43.67158543003155
2014-01-13,2014-01-01,Monday,Little Portugal (84),1100,Residential Structures,-79.43032271138112,43.64753592717682
2014-01-08,2014-01-01,Wednesday,Willowdale East (51),2399,Residential Structures,-79.40148379055928,43.770602244553096
2014-01-11,2014-01-01,Saturday,Broadview North (57),900,Residential Structures,-79.35562951364216,43.68882511190598
2014-01-14,2014-01-01,Tuesday,New Toronto (18),600,Public Institutions,-79.51035809204086,43.60058858826094
2014-01-14,2014-01-01,Tuesday,Bay Street Corridor (76),2000,Commercial Areas,-79.38572124534863,43.657511330997565
2014-01-15,2014-01-01,Wednesday,Moss Park (73),750,Open/Public Spaces,-79.36729702995146,43.656517618834606
2014-01-12,2014-01-01,Sunday,Waterfront Communities-The Island (77),300,Residential Structures,-79.3772023229936,43.633880327159524
2014-01-18,2014-01-01,Saturday,Wexford/Maryvale (119),150,Residential Structures,-79.29863655575355,43.748572089895596
